Id,Label,CARD USAGE COUNT,DECK,Category,PLAYING CARD EQUIVALENCY,TITLE NOSPACE,Name,Description,CARD_IMAGE_FRONT,CARD_IMAGE_BACK,CARD_MIRO_NAME
Moral-IT_Privacy_A_Ace,Privacy Ace,0,Moral-IT,Privacy,A,Ace,Ace,Think of a time that you were amazed by a new technology. Why?,2019_ACE_DP,6_Card_BacksPrivacy,Moral-IT_Privacy_A_Ace
Moral-IT_Privacy_2_LimitedDataCollection,Limited Data Collection,15,Moral-IT,Privacy,2,LimitedDataCollection,Limited Data Collection,"Does your technology collect the minimal data necessary, for a specific purpose? Is it stored for a limited time?",4_Data_Protection_Cards2,6_Card_BacksPrivacy,Moral-IT_Privacy_2_LimitedDataCollection
Moral-IT_Privacy_3_InternationalDataTransfer,International Data Transfer,0,Moral-IT,Privacy,3,InternationalDataTransfer,International Data Transfer,How does your technology protect data sent overseas? ,4_Data_Protection_Cards3,6_Card_BacksPrivacy,Moral-IT_Privacy_3_InternationalDataTransfer
Moral-IT_Privacy_4_SpectrumofControlRights,Spectrum of Control Rights,8,Moral-IT,Privacy,4,SpectrumofControlRights,Spectrum of Control Rights,How does your technology accommodate users seeking greater control over their personal data? ,4_Data_Protection_Cards4,6_Card_BacksPrivacy,Moral-IT_Privacy_4_SpectrumofControlRights
Moral-IT_Privacy_5_TransparencyRights,Transparency Rights,11,Moral-IT,Privacy,5,TransparencyRights,Transparency Rights,"Do you provide sufficient, clear information about how your technology uses personal data? How?",4_Data_Protection_Cards5,6_Card_BacksPrivacy,Moral-IT_Privacy_5_TransparencyRights
Moral-IT_Privacy_6_LawfulProcessing,Lawful Processing,4,Moral-IT,Privacy,6,LawfulProcessing,Lawful Processing,"Does your technology process personal data lawfully? Specifically, how do you obtain consent?",4_Data_Protection_Cards6,6_Card_BacksPrivacy,Moral-IT_Privacy_6_LawfulProcessing
Moral-IT_Privacy_7_DataSecurity,Data Security,9,Moral-IT,Privacy,7,DataSecurity,Data Security,Does your technology protect data from unanticipated disclosures? How? Can you notify users of a breach quickly?,4_Data_Protection_Cards7,6_Card_BacksPrivacy,Moral-IT_Privacy_7_DataSecurity
Moral-IT_Privacy_8_TakingResponsibilities,Taking Responsibilities,7,Moral-IT,Privacy,8,TakingResponsibilities,Taking Responsibilities,Have you systematically assessed privacy impacts of your technology? What technical & organisational safeguards should you implement?,4_Data_Protection_Cards8,6_Card_BacksPrivacy,Moral-IT_Privacy_8_TakingResponsibilities
Moral-IT_Privacy_9_PrivacyinPublic,Privacy in Public,8,Moral-IT,Privacy,9,PrivacyinPublic,Privacy in Public,Does your technology use information collected in a public space? How do you protect privacy rights of those involved?,4_Data_Protection_Cards9,6_Card_BacksPrivacy,Moral-IT_Privacy_9_PrivacyinPublic
Moral-IT_Privacy_10_LocationPrivacy,Location Privacy,3,Moral-IT,Privacy,10,LocationPrivacy,Location Privacy,Does your technology collect the location of users? Why? Does it need to?,4_Data_Protection_Cards10,6_Card_BacksPrivacy,Moral-IT_Privacy_10_LocationPrivacy
Moral-IT_Privacy_J_Compliance&amp;Accountability,Compliance & Accountability,4,Moral-IT,Privacy,J,Compliance&Accountability,Compliance & Accountability,What measures have you used to comply with EU Data Protection Laws? How do you demonstrate these to users?,4_Data_Protection_CardsJ,6_Card_BacksPrivacy,Moral-IT_Privacy_J_Compliance&Accountability
Moral-IT_Privacy_Q_SpecialCategoriesofData,Special Categories of Data,6,Moral-IT,Privacy,Q,SpecialCategoriesofData,Special Categories of Data,"How does your technology obtain explicit user consent for processing of sensitive info incl. health, religious, political, ethnic origin & sexuality?",4_Data_Protection_CardsQ,6_Card_BacksPrivacy,Moral-IT_Privacy_Q_SpecialCategoriesofData
Moral-IT_Privacy_K_PrivacyVirtues,Privacy Virtues,7,Moral-IT,Privacy,K,PrivacyVirtues,Privacy Virtues,"Does your technology shape the autonomy, dignity and identity formation of users? How?",4_Data_Protection_CardsK,6_Card_BacksPrivacy,Moral-IT_Privacy_K_PrivacyVirtues
Moral-IT_Privacy_B_BlankCard1,Privacy Blank Card,0,Moral-IT,Privacy,B,BlankCard,Blank Card,,4_Data_Protection_CardsB,6_Card_BacksPrivacy,Moral-IT_Privacy_B_BlankCard
Moral-IT_Ethics_A_Ace,Ethics Ace,1,Moral-IT,Ethics,A,Ace,Ace,Consider the setting this technology will be used in & why this is important. ,2019_ETHICS_ACE3,6_Card_Backsethics,Moral-IT_Ethics_A_Ace
Moral-IT_Ethics_2_Legibility&amp;Comprehension,Legibility & Comprehension,14,Moral-IT,Ethics,2,Legibility&Comprehension,Legibility & Comprehension,Can everybody understand what your system does? how?,3_Ethics_Cards2,6_Card_Backsethics,Moral-IT_Ethics_2_Legibility&Comprehension
Moral-IT_Ethics_3_UserEmpowerment&amp;Negotiability,User Empowerment & Negotiability,15,Moral-IT,Ethics,3,UserEmpowerment&Negotiability,User Empowerment & Negotiability,How do you ensure people can exercise ongoing choice about using your system? ,3_Ethics_Cards3,6_Card_Backsethics,Moral-IT_Ethics_3_UserEmpowerment&Negotiability
Moral-IT_Ethics_4_OvertBias&amp;Prejudice,Overt Bias & Prejudice,8,Moral-IT,Ethics,4,OvertBias&Prejudice,Overt Bias & Prejudice,Does your technology overtly treat one group of people differently? Why?,3_Ethics_Cards4,6_Card_Backsethics,Moral-IT_Ethics_4_OvertBias&Prejudice
Moral-IT_Ethics_5_Autonomy&amp;Agency,Autonomy & Agency,11,Moral-IT,Ethics,5,Autonomy&Agency,Autonomy & Agency,What are the consequences of your technology for the freedom of choice of users? Does it unreasonably limit it? How?,3_Ethics_Cards5,6_Card_Backsethics,Moral-IT_Ethics_5_Autonomy&Agency
Moral-IT_Ethics_6_Trust,Trust,12,Moral-IT,Ethics,6,Trust,Trust,How do you ensure and maintain citizens’ trust? ,3_Ethics_Cards6,6_Card_Backsethics,Moral-IT_Ethics_6_Trust
Moral-IT_Ethics_7_MeaningfulTransparency,Meaningful Transparency,10,Moral-IT,Ethics,7,MeaningfulTransparency,Meaningful Transparency,Do you know why your technology acts the way it does? Can you explain that to people?,3_Ethics_Cards7,6_Card_Backsethics,Moral-IT_Ethics_7_MeaningfulTransparency
Moral-IT_Ethics_8_Sustainability&amp;E-Waste,Sustainability & E-Waste,5,Moral-IT,Ethics,8,Sustainability&E-Waste,Sustainability & E-Waste,"What effects does your technology have on the environment, from creation to destruction?",3_Ethics_Cards8,6_Card_Backsethics,Moral-IT_Ethics_8_Sustainability&E-Waste
Moral-IT_Ethics_9_PowerAsymmetry,Power Asymmetry,9,Moral-IT,Ethics,9,PowerAsymmetry,Power Asymmetry,Where does power reside in your technology? Is it balanced? ,3_Ethics_Cards9,6_Card_Backsethics,Moral-IT_Ethics_9_PowerAsymmetry
Moral-IT_Ethics_10_Fairness&amp;Justice,Fairness & Justice,11,Moral-IT,Ethics,10,Fairness&Justice,Fairness & Justice,How do you ensure your technology acts in a fair manner & does not cause injustice to users?,3_Ethics_Cards10,6_Card_Backsethics,Moral-IT_Ethics_10_Fairness&Justice
Moral-IT_Ethics_J_Temporality,Temporality,5,Moral-IT,Ethics,J,Temporality,Temporality,How long does your technology last? How does it manage its impacts from creation to destruction?,3_Ethics_CardsJ,6_Card_Backsethics,Moral-IT_Ethics_J_Temporality
Moral-IT_Ethics_Q_Wellbeing,Wellbeing,18,Moral-IT,Ethics,Q,Wellbeing,Wellbeing,Does your technology improve the lives of its users? How?,3_Ethics_CardsK,6_Card_Backsethics,Moral-IT_Ethics_Q_Wellbeing
Moral-IT_Ethics_K_Participation,Participation,8,Moral-IT,Ethics,K,Participation,Participation,Can citizens participate in decisions about your technology? How?,3_Ethics_CardsQ,6_Card_Backsethics,Moral-IT_Ethics_K_Participation
Moral-IT_Ethics_B_BlankCard1,Ethics Blank Card,0,Moral-IT,Ethics,B,BlankCard,Blank Card,,3_Ethics_CardsB,6_Card_Backsethics,Moral-IT_Ethics_B_BlankCard
