title:,id,layers,version,name,description,category,aspect,back,colour,action,comment
use:,id,attribute,attribute,name,description,category,attribute,back,attribute,attribute,attribute
description:,,Used by RRI-specific squib build to determine appropriate visual elements,,,,,,,,,
export:,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
default:,defaults:,,,,,,,,,,
card:,HorizonRRI_An_Purpose,face,2022-08-01,Purpose,Why should this research be undertaken? How might it affect the world?,Anticipate,Purpose,Anticipate,#f2b082,"Map possible impacts.; Create and share a lay summary.; Solicit a range of lay, expert and peer inputs.",
card:,HorizonRRI_An_SociallyDesirable,face,2022-08-01,Societally Desirable Product,Will the products (outputs) be socially desirable?,Anticipate,Product,Anticipate,#f2b082,Engage with the public and other stakeholders.,promoted to top-level (anticipate product)
card:,HorizonRRI_An_Sustainable,face,2022-08-01,Sustainable Product,How sustainable are the outcomes? Could they be made more sustainable?,Anticipate,Product,Anticipate,#f2b082,"Consider the 3 ‘R’s (Reduce, Re-use, Re-cycle).; Apply circular economy principles.; Seek specialist input.",promoted to top-level (anticipate product)
card:,HorizonRRI_An_PeopleAffected,face,2022-08-01,People Affected,Who is directly affected? Indirectly affected? Who benefits? Who loses out? Is anyone left out or excluded? ,Anticipate,People,Anticipate,#f2b082,Map stakeholders.; Consider vested interests.; Consider indirect effects.,
card:,HorizonRRI_An_ResearchConduct ,face,2022-08-01,Research Conduct ,"Is the planned research methodology acceptable? E.g. health & safety, ethical approval & Informed consent, data management, risk?",Anticipate,Process,Anticipate,#f2b082,Review local policies.; Access training.; Use local tools and infrastructure.; Seek peer and expert input.,
back:,back:Anticipate,back,Version 2.1 (August 2022),High-level RRI Self-assessment Cards,,Anticipate,,,#f2b082,,
card:,HorizonRRI_R_BroaderConcerns ,face,2022-08-01,Broader Concerns ,Is the research controversial? Are there alternatives? Is it disruptive? What legislation and regulation apply?,Reflect,Purpose,Reflect,#ffd966,"Consider public responses to related projects.; Solicit a range of lay, expert and peer inputs.",
card:,HorizonRRI_R_UnintendedConsequences,face,2022-08-01,Unintended Consequences,What uses could it have? Could it be used to cause harm? What negative consequences might there be? ,Reflect,Product,Reflect,#ffd966,"Consider unanticipated outcomes from related projects.; Solicit a broad range of lay, expert and peer inputs.; Consider indirect effects.",
card:,HorizonRRI_R_EDI,face,2022-08-02,"Equality, Diversity & Inclusion",How diverse is the team? What is the gender balance? Are the process and the outputs accessible? Is anyone excluded?,Reflect,People,Reflect,#ffd966,Develop an EDI action plan.; Use accessibility guidelines and resources.; Ensure reasonable adjustments are in place.; Consider positive discrimination.,
card:,HorizonRRI_R_MeansOfReflection ,face,2022-08-01,Means of Reflection,What do you do to reflect on the process? How often do you do this? Who is involved?,Reflect,Process,Reflect,#ffd966,Convene an advisory board.; Schedule periodic sessions dedicated to RRI.,
back:,back:Reflect,back,Version 2.1 (August 2022),High-level RRI Self-assessment Cards,,Reflect,,,#ffd966,,
card:,HorizonRRI_E_PublicDialog,face,2022-08-02,Public Dialog,Is the research agenda acceptable? Have diverse voices been heard? ,Engage,Purpose,Engage,#a8cf8c,"Discuss the work at public events.; Talk to organisations who represent relevant groups, such as charities.; Include lay members in any advisory group.",
